Name New_Price Preowned_Price Download_Price Other_Price Console Genre
"The Division 2" 17.99 12.99 12.99 13.49 "PlayStation 4" Action/Adventure
"Batman: Arkham Knight - Red Hood Edition" 0.0 7.99 7.99 12.99 "PlayStation 4" Action/Adventure
"Red Dead Online: 55 Gold Bars" 0.0 18.79 18.79 0.0 "Xbox One" Action/Adventure
"Ghostbusters The Video Game Remastered" 24.99 0.0 0.0 24.49 "PlayStation 4" Action/Adventure
"Rick and Morty: Virtual Rick-ality" 19.99 0.0 0.0 39.95 "PlayStation 4" Action/Adventure
"Sonic Mania Plus" 19.99 19.99 19.99 31.88 "PlayStation 4" Action/Adventure
"Donkey Kong Country Tropical Freeze" 0.0 37.99 37.99 49.88 Switch Action/Adventure
"Assassin's Creed The Ezio Collection" 16.99 0.0 0.0 31.55 "PlayStation 4" Action/Adventure
"Pokémon Crystal Version" 0.0 8.99 8.99 0.0 2DS/3DS Action/Adventure
"Star Wars: Battlefront II" 0.0 24.99 24.99 26.99 "PlayStation 4" Action/Adventure
"Grand Theft Auto V" 21.7 0.0 0.0 7.21 "Xbox 360" Action/Adventure
"LEGO Marvel Super Heroes 2" 22.99 29.99 29.99 42.88 Switch Action/Adventure
"Batman: Return To Arkham" 0.0 19.99 19.99 17.99 "PlayStation 4" Action/Adventure
"The Last Guardian - The Only on PlayStation Collection - GAME ..." 15.95 0.0 0.0 16.74 "PlayStation 4" Action/Adventure
"LEGO Star Wars: The Force Awakens" 0.0 19.99 19.99 9.55 "PlayStation 4" Action/Adventure
"Selects Luigi's Mansion 2" 33.99 0.0 0.0 29.88 2DS/3DS Action/Adventure
"The Raven Remastered" 4.99 0.0 0.0 21.75 "Xbox One" Action/Adventure
"Rad Rodgers" 4.99 0.0 0.0 17.88 "Xbox One" Action/Adventure
"Daemon X Machina: Orbital Limited Edition" 64.99 0.0 0.0 149.95 Switch Action/Adventure
"Shadow of the Tomb Raider" 29.99 12.99 12.99 22.0 "Xbox One" Action/Adventure
"Far Cry 5 Gold Edition" 0.0 19.99 19.99 22.95 "Xbox One" Action/Adventure
"Spyro Re-Ignited Trilogy + Totaku Spyro the Dragon Figure" 39.99 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Star Wars Jedi: Fallen Order" 0.0 59.99 59.99 0.0 "Xbox One" Action/Adventure
"LEGO Harry Potter Collection" 24.99 19.99 19.99 13.7 "PlayStation 4" Action/Adventure
"Thief Bank Heist Edition" 0.0 7.99 7.99 6.26 "PlayStation 4" Action/Adventure
"Spyro Reignited Trilogy" 22.99 22.99 22.99 23.99 "PlayStation 4" Action/Adventure
"Far Cry New Dawn Superbloom Edition - UK Retail Exclusive" 19.99 19.99 19.99 0.0 "PlayStation 4" Action/Adventure
"Hellblade: Senua’s Sacrifice" 24.99 0.0 0.0 31.65 "Xbox One" Action/Adventure
"Kingdom Hearts III" 17.99 19.99 19.99 15.99 "PlayStation 4" Action/Adventure
"Tom Clancy's Rainbow Six: Siege 600 Credits Pack" 0.0 3.99 3.99 0.0 "PlayStation 4" Action/Adventure
"LEGO® DC Super-Villains" 32.99 29.99 29.99 45.88 Switch Action/Adventure
"Grand Theft Auto: Episodes from Liberty City" 16.0 0.0 0.0 7.4 "Xbox 360" Action/Adventure
"Ace Combat 7: Skies Unknown" 31.99 29.99 29.99 41.58 "PlayStation 4" Action/Adventure
"Assassin's Creed Odyssey: Helix Credits XL Pack" 0.0 39.99 39.99 0.0 "Xbox One" Action/Adventure
"Life is Strange 2" 32.99 0.0 0.0 45.65 "PlayStation 4" Action/Adventure
"Red Dead Online: 245 Gold Bars" 0.0 69.99 69.99 0.0 "Xbox One" Action/Adventure
"PlayStation Hits - Uncharted Collection" 15.99 0.0 0.0 25.45 "PlayStation 4" Action/Adventure
"Assassin's Creed Odyssey: Helix Credits Small Pack" 0.0 7.99 7.99 0.0 "Xbox One" Action/Adventure
"Hollow Knight" 0.0 10.99 10.99 0.0 Switch Action/Adventure
Subnautica 19.99 0.0 0.0 47.88 "PlayStation 4" Action/Adventure
"Wolfenstein II: The New Colossus" 14.99 12.99 12.99 14.0 "PlayStation 4" Action/Adventure
GreedFall 0.0 44.99 44.99 0.0 "Xbox One" Action/Adventure
"Middle Earth: Shadow of Mordor" 0.0 7.99 7.99 4.0 "Xbox One" Action/Adventure
MediEvil 24.99 0.0 0.0 21.68 "PlayStation 4" Action/Adventure
"Starlink: Battle for Atlas Starter Pack" 17.82 0.0 0.0 15.99 Switch Action/Adventure
"Assassin's Creed: Origins" 19.99 19.99 19.99 17.45 "PlayStation 4" Action/Adventure
"Hitman Definitive Edition" 0.0 19.99 19.99 27.99 "PlayStation 4" Action/Adventure
Nioh 15.99 12.99 12.99 13.12 "PlayStation 4" Action/Adventure
"Steven Universe: Save the Light & OK K.O.! Let's Play Heroes" 17.99 0.0 0.0 23.84 "PlayStation 4" Action/Adventure
"Warhammer Vermintide 2 Deluxe Edition" 29.99 0.0 0.0 22.49 "PlayStation 4" Action/Adventure
"Hitman 2" 19.99 19.99 19.99 17.37 "Xbox One" Action/Adventure
"UglyDolls: An Imperfect Adventure" 17.99 0.0 0.0 34.49 Switch Action/Adventure
"Rise of the Tomb Raider" 0.0 12.99 12.99 19.99 "PlayStation 4" Action/Adventure
"Tokyo Ghoul : re Call to Exist" 34.99 0.0 0.0 45.5 "PlayStation 4" Action/Adventure
"Sekiro: Shadows Die Twice" 49.99 32.99 32.99 57.85 "Xbox One" Action/Adventure
"Middle-earth: Shadow of War" 14.99 7.99 7.99 8.0 "Xbox One" Action/Adventure
"Monster Hunter: World" 0.0 12.99 12.99 33.45 "Xbox One" Action/Adventure
"Assassin's Creed: The Rebel Collection" 39.99 0.0 0.0 39.49 Switch Action/Adventure
"Dishonored 2" 0.0 7.99 7.99 7.69 "Xbox One" Action/Adventure
"Watch Dogs" 0.0 7.99 7.99 7.0 "Xbox One" Action/Adventure
"LEGO Star Wars: The Complete Saga" 0.0 12.82 12.82 0.0 "Xbox 360" Action/Adventure
"Grand Theft Auto V - Tiger Shark Cash Card" 0.0 3.19 3.19 0.0 "Xbox One" Action/Adventure
"The Walking Dead: The Telltale Definitive Series" 27.9 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Rayman Legends: Definitive Edition" 0.0 19.99 19.99 35.88 Switch Action/Adventure
"LEGO Marvel Super Heroes 2" 19.99 19.99 19.99 35.88 "Xbox One" Action/Adventure
"Injustice 2 Legendary Edition" 0.0 19.99 19.99 23.39 "PlayStation 4" Action/Adventure
"Batman: Arkham Collection Steelbook Edition" 25.09 0.0 0.0 0.0 "Xbox One" Action/Adventure
"Far Cry New Dawn" 0.0 19.99 19.99 44.88 "Xbox One" Action/Adventure
"Astral Chain" 39.99 34.99 34.99 42.64 Switch Action/Adventure
Vampyr 0.0 19.99 19.99 19.99 "PlayStation 4" Action/Adventure
"Assassin's Creed: Syndicate" 0.0 12.99 12.99 8.28 "PlayStation 4" Action/Adventure
"The Last of Us Remastered Day One Edition" 0.0 13.41 13.41 0.0 "PlayStation 4" Action/Adventure
"LEGO Harry Potter Collection" 24.99 19.99 19.99 33.88 "Xbox One" Action/Adventure
"Skylanders Giants- Solus" 0.0 0.1 0.1 0.0 "PlayStation 3" Action/Adventure
"Pac Man 256" 0.0 3.99 3.99 0.0 "PlayStation 4" Action/Adventure
"LEGO Jurassic World" 19.99 19.99 19.99 12.43 "Xbox One" Action/Adventure
"LittleBigPlanet 3" 0.0 12.99 12.99 18.99 "PlayStation 4" Action/Adventure
"Rad Rodgers" 13.99 0.0 0.0 16.19 "PlayStation 4" Action/Adventure
"The Walking Dead: The Final Season" 14.99 0.0 0.0 31.75 "PlayStation 4" Action/Adventure
"Metro: Exodus" 14.99 14.99 14.99 23.55 "Xbox One" Action/Adventure
"Wolfenstein: The Old Blood" 11.11 0.0 0.0 10.79 "PlayStation 4" Action/Adventure
GreedFall 49.5 0.0 0.0 45.99 "Xbox One" Action/Adventure
"World End Syndrome Day One Edition" 19.99 0.0 0.0 36.13 Switch Action/Adventure
"Call of Duty: Black Ops III - Gold" 19.99 0.0 0.0 23.19 "PlayStation 4" Action/Adventure
"New Super Mario Bros 2" 24.85 39.99 39.99 19.35 2DS/3DS Action/Adventure
"L.A. Noire" 0.0 19.99 19.99 17.18 "PlayStation 4" Action/Adventure
"Concrete Genie" 19.99 19.99 19.99 25.99 "PlayStation 4" Action/Adventure
"LEGO Star Wars: The Complete Saga" 0.0 5.16 5.16 0.0 NDS Action/Adventure
"Ratchet and Clank" 0.0 19.99 19.99 17.99 "PlayStation 4" Action/Adventure
"Grand Theft Auto IV" 0.0 4.08 4.08 0.0 "Xbox 360" Action/Adventure
"PlayStation 4 500GB Slim with Uncharted 4" 236.95 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Watch Dogs 2" 16.98 0.0 0.0 13.59 "Xbox One" Action/Adventure
"The Angry Birds Movie 2 VR: Under Pressure" 14.99 0.0 0.0 17.99 "PlayStation 4" Action/Adventure
"Assassin's Creed 3 Remastered" 0.0 27.99 27.99 47.88 "PlayStation 4" Action/Adventure
"Fallout 76" 39.99 12.99 12.99 9.98 "PlayStation 4" Action/Adventure
Farpoint 0.0 12.99 12.99 14.99 "PlayStation 4" Action/Adventure
"L.A. Noire" 0.0 19.99 19.99 13.0 "Xbox One" Action/Adventure
"Lego Star Wars 3: The Clone Wars" 0.0 12.88 12.88 0.0 NDS Action/Adventure
"LEGO Marvel Super Heroes" 19.99 19.99 19.99 13.22 "PlayStation 4" Action/Adventure
"Ace Combat 7: Skies Unknown" 0.0 27.99 27.99 56.88 "Xbox One" Action/Adventure
